trajectory_index,mode_index,selection_reason,eigenvalue,peak_energy,final_energy_fraction,final_actual_coefficient,final_homogeneous_coefficient,final_net_forcing_injection,final_forcing_radius_R,final_epsilon,final_shadowing,shadowing_sample_fraction,first_epsilon_ge_0_1,first_epsilon_ge_1,max_identity_residual,max_relative_identity_residual,max_cancellation_condition,max_forcing_projection_discrepancy,max_bound_violation
0,0,low+peak_energy,-13.473226512804215,90.19505615697706,0.37874277861372696,-8.072893916397907,-3.1977538044878525e+18,3.1977538044878525e+18,3.198885147881081e+18,1.0003537931505673,0,0.5182724252491694,1100,1560,15863.927106083602,2.7437615958440756e-15,7.923600902739333e+17,1.2961853812498703e-14,0.0
0,1,low,-13.20075514043792,1.3318357837524821,0.0041066843637630355,0.840625824006994,7.223221098137686e+16,-7.223221098137686e+16,7.228781211458163e+16,1.0007697553826658,0,0.4883720930232558,1090,1470,223.159374175993,1.6402566688610315e-15,1.7191956155602957e+17,1.6237011735142914e-15,0.0
0,2,low,-13.140194813527014,0.5953340058235895,0.003291980287650697,0.7526371965858515,8190742668274845.0,-8190742668274844.0,9635361442656976.0,1.176372135334878,0,0.4019933554817276,1080,1210,33.24736280341415,2.1220799549820163e-15,2.3684856650449164e+16,1.3340023530261647e-15,0.0
0,3,low+peak_energy,-13.025700691295736,7.474784265481556,0.028493973567681945,2.2142852832770714,1.8330283968616816e+16,-1.8330283968616812e+16,1.9956041475802452e+16,1.0886924343326643,0,0.42524916943521596,1100,1280,49.78571471672293,1.816065100761603e-15,1.7290601953401744e+16,3.1780134079895106e-15,0.0
0,4,low,-12.865827964829405,1.8705673537465222,7.016038401797404e-05,0.10987605138642037,2228609962770050.2,-2228609962770050.2,3033144180501681.5,1.3610027017610724,0,0.4053156146179402,1080,1220,6.89012394861358,1.5458344133150855e-15,4.788808914116142e+16,1.7277845820728999e-15,1.7073272540890508e-18
0,5,low+peak_energy,-12.774068999581628,5.2743602618504974,0.03065177722921283,2.296597540243065,804299335153200.1,-804299335153197.9,805038737703776.0,1.0009193126467462,0,0.5448504983388704,1080,1640,2.6645011937946994,3.2080571185509016e-15,700748844608902.8,2.3314683517128287e-15,0.0
0,6,low+peak_energy,-12.729985667845913,3.380373943593769,0.019644935864528708,-1.8385793275226852,-65508959929684.69,65508959929682.85,302666831431742.1,4.620235640385917,0,0.3654485049833887,1070,1100,0.5104543275226852,3.99821909746293e-15,200250152848998.62,1.7277845820728999e-15,0.0
0,7,low+peak_energy,-12.660351007090666,5.0435905634417715,0.014198414906274562,1.56306484902051,70235686714452.25,-70235686714450.69,585566467975720.9,8.337164415525393,0,0.36212624584717606,1060,1090,0.0853726509794901,2.515731879362869e-15,419561706029746.4,2.275957200481571e-15,0.0
0,13,peak_energy,-12.322484143241887,3.744542875586565,0.021703981032872854,-1.9325323191967065,3712944054118.224,-3712944054120.1567,41370084132237.91,11.142124289848145,0,0.36212624584717606,1060,1090,0.03214169419670654,4.660873656365698e-15,23328473080903.37,2.282896094385478e-15,0.0
0,16,peak_energy,-12.093240708024462,14.638780619857132,0.0850728088698575,3.826065945570872,-135488997550.50256,135488997554.32863,5602595042783.044,41.35092254036876,0,0.3554817275747508,1040,1070,0.0045004606791279045,1.7175485390294475e-14,1499734746332.8655,4.107825191113079e-15,0.0
0,20,peak_energy,-11.84007873748695,3.410281992665467,0.010062217600520298,1.3158425245528798,-8027456085.683928,8027456086.99977,401200962332.86426,49.97859322436673,0,0.3554817275747508,1040,1070,3.348252719836964e-05,3.2494297092131973e-15,311001058852.0864,2.671474153004283e-15,0.0
