trajectory_index,mode_index,selection_reason,eigenvalue,time,initial_coefficient,actual_coefficient,propagator,homogeneous_coefficient,net_forcing_injection,previous_step_forcing_projection,duhamel_reconstruction,identity_residual,relative_identity_residual,cancellation_condition,absolute_prediction_error,forcing_radius_R,epsilon,shadowing,mode_energy_fraction,selected_modes_energy_fraction
0,0,low+peak_energy,-13.473226512804215,0,-0.038718588925272385,-0.038718588925272385,1.0,-0.038718588925272385,0.0,0.0,-0.038718588925272385,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0021922340146826287,0.013649069374411075
0,0,low+peak_energy,-13.473226512804215,10,-0.038718588925272385,-0.03645080148205301,0.9414302089205594,-0.036450849261028435,4.7778975428847126e-08,1.2320030592927189e-08,-0.036450801482053,-6.938893903907228e-18,9.518151215376444e-17,1.0000037400639994,4.7778975428847126e-08,8.854935494892661e-08,2.4292809836834035e-06,1,0.00557020314827749,0.032899666576488365
0,0,low+peak_energy,-13.473226512804215,20,-0.038718588925272385,-0.03438472208028477,0.8880731992071063,-0.03438494113565148,2.1905536670696613e-07,1.2564568947770471e-08,-0.03438472208028476,-1.3877787807814457e-17,2.0180037175380666e-16,1.0000139221456235,2.1905536670696613e-07,2.596537413222123e-07,7.551379550072704e-06,1,0.010878202900444807,0.06103467503477357
0,0,low+peak_energy,-13.473226512804215,30,-0.038718588925272385,-0.032501090731527585,0.8394260621741665,-0.03250139263448169,3.0190295410847945e-07,2.3324551963466167e-08,-0.03250109073152758,-6.938893903907228e-18,1.067476397387592e-16,1.0000212314077441,3.0190295410847945e-07,3.881409553407986e-07,1.1942286895393163e-05,1,0.017766720588058053,0.09482130953127492
0,0,low+peak_energy,-13.473226512804215,40,-0.038718588925272385,-0.030782489661493224,0.7950405264841078,-0.030782847323870304,3.576623770797094e-07,-2.8772068616511604e-09,-0.030782489661493224,0.0,0.0,1.0000266323793754,3.576623770797094e-07,4.621485657025658e-07,1.5013184480312726e-05,1,0.025886807546431377,0.1315914102336387
0,0,low+peak_energy,-13.473226512804215,50,-0.038718588925272385,-0.029213482076007234,0.754517222921028,-0.02921384219131739,3.60115310155118e-07,2.069254521203101e-08,-0.029213482076007234,0.0,0.0,1.0000306684150335,3.60115310155118e-07,5.35815882728085e-07,1.834116441168886e-05,1,0.03502000356733586,0.1697753567404204
0,0,low+peak_energy,-13.473226512804215,60,-0.038718588925272385,-0.0277802129021497,0.7175001683643124,-0.027780594072711537,3.811705618361749e-07,2.74627278591677e-08,-0.027780212902149708,6.938893903907228e-18,1.248874283563864e-16,1.0000357770731523,3.811705618361749e-07,6.12724147347624e-07,2.2055833138193896e-05,1,0.045024717007531696,0.20843343117067262
0,0,low+peak_energy,-13.473226512804215,70,-0.038718588925272385,-0.02647036830433249,0.6836718187421091,-0.026470808109669057,4.3980533656617915e-07,6.4609742347898624e-09,-0.02647036830433249,0.0,0.0,1.0000431253072715,4.3980533656617915e-07,7.01737430145869e-07,2.650986049381483e-05,1,0.055791174899016874,0.24693209926054158
0,0,low+peak_energy,-13.473226512804215,80,-0.038718588925272385,-0.02527303443776207,0.6527487039242492,-0.025273508738747338,4.743009852682667e-07,2.0223220580789514e-08,-0.02527303443776207,0.0,0.0,1.0000506969071845,4.743009852682667e-07,8.069636958975014e-07,3.192923088911389e-05,1,0.06722367617918776,0.2848080247482856
0,0,low+peak_energy,-13.473226512804215,90,-0.038718588925272385,-0.02417842061093478,0.6244776017928607,-0.024178891556857714,4.709459229326751e-07,1.1584641509965188e-08,-0.024178420610934784,3.469446951953614e-18,7.174536814053404e-17,1.0000557270632648,4.709459229326751e-07,8.764464520974135e-07,3.624841320936535e-05,1,0.07923471137848541,0.3217195741987043
0,0,low+peak_energy,-13.473226512804215,100,-0.038718588925272385,-0.02317768370920098,0.5986321786315427,-0.02317819324187493,5.0953267394932e-07,2.5643172928829783e-08,-0.02317768370920098,0.0,0.0,1.00006345609955,5.0953267394932e-07,9.612327308438546e-07,4.147142621570872e-05,1,0.09174444940424091,0.35741787119406365
0,0,low+peak_energy,-13.473226512804215,110,-0.038718588925272385,-0.02226300893609519,0.5750100404718572,-0.022263577384934077,5.684488388890685e-07,2.959303748231723e-08,-0.022263008936095192,3.469446951953614e-18,7.791755322981954e-17,1.0000719999999874,5.684488388890685e-07,1.0344878042290127e-06,4.646547975389876e-05,1,0.10468178313916615,0.39173456670623547
0,0,low+peak_energy,-13.473226512804215,120,-0.038718588925272385,-0.021427362398228268,0.5534301431921258,-0.021428034213110552,6.718148822838776e-07,3.27854073195466e-08,-0.021427362398228268,0.0,0.0,1.0000846659917453,6.718148822838776e-07,1.1423540056479747e-06,5.331119011136521e-05,1,0.11798355543227891,0.42456763821023696
0,0,low+peak_energy,-13.473226512804215,130,-0.038718588925272385,-0.02066458132778306,0.5337305142630405,-0.020665292378624897,7.110508418381456e-07,7.788880488496241e-09,-0.02066458132778306,0.0,0.0,1.000093971909663,7.110508418381456e-07,1.2308393279194083e-06,5.9560702329695777e-05,1,0.13159655206799845,0.455868963842777
0,0,low+peak_energy,-13.473226512804215,140,-0.038718588925272385,-0.019969054552206496,0.5157662569891938,-0.01996974168589099,6.871336844932463e-07,-3.2717791392800066e-09,-0.019969054552206492,-3.469446951953614e-18,8.686759715086463e-17,1.000098251376775,6.871336844932463e-07,1.2748534181588596e-06,6.383925431842558e-05,1,0.14547427569242902,0.48563046863927695
0,0,low+peak_energy,-13.473226512804215,150,-0.038718588925272385,-0.019335636936635096,0.49940779378888567,-0.019336365073789063,7.281371539671899e-07,4.266804926739143e-09,-0.019335636936635092,-3.469446951953614e-18,8.971300807349095e-17,1.0001074403107841,7.281371539671899e-07,1.3492896877117672e-06,6.97799034390783e-05,1,0.15957584897152544,0.5138753239233752
0,0,low+peak_energy,-13.473226512804215,160,-0.038718588925272385,-0.01875994884033773,0.48453932319492693,-0.018760678872914074,7.300325763452686e-07,-6.498963461137874e-09,-0.01875994884033773,0.0,0.0,1.000112653911275,7.300325763452686e-07,1.3833490358405756e-06,7.373661929887837e-05,1,0.17386905256575708,0.5406459103858653
0,0,low+peak_energy,-13.473226512804215,170,-0.038718588925272385,-0.018238037147358714,0.471057464367609,-0.018238680323030595,6.431756718813797e-07,-2.948367837721233e-08,-0.018238037147358718,3.469446951953614e-18,9.511233517187718e-17,1.0001130710533284,6.431756718813797e-07,1.4190183990132332e-06,7.780269042938326e-05,1,0.18832463073275818,0.5660070651614945
0,0,low+peak_energy,-13.473226512804215,180,-0.038718588925272385,-0.017766186586580312,0.45887006479183234,-0.01776680140878806,6.148222077492771e-07,-5.129994422314876e-09,-0.017766186586580312,0.0,0.0,1.0001194217964227,6.148222077492771e-07,1.506847710002862e-06,8.48125487155794e-05,1,0.20291512015030191,0.5900184226721706
0,0,low+peak_energy,-13.473226512804215,190,-0.038718588925272385,-0.01734125190060317,0.4478951546984644,-0.017341868376391126,6.164757879560667e-07,9.170618011505871e-09,-0.017341251900603174,3.469446951953614e-18,1.0003094466674796e-16,1.0001246858061705,6.164757879560667e-07,1.545732185276823e-06,8.913296720560697e-05,1,0.2176168816499792,0.612753190808257
0,0,low+peak_energy,-13.473226512804215,200,-0.038718588925272385,-0.01696040533850053,0.43806003022048917,-0.016961066234699517,6.608961989860995e-07,1.9545703250356539e-10,-0.016960405338500524,-6.938893903907228e-18,2.0455358784318068e-16,1.000134299277245,6.608961989860995e-07,1.6168739797552936e-06,9.532855761434613e-05,1,0.2324106011500535,0.6342810012591702
0,0,low+peak_energy,-13.473226512804215,210,-0.038718588925272385,-0.016621251279515026,0.42930045187592974,-0.016621907721617805,6.56442102779653e-07,-1.6395185695183834e-09,-0.016621251279515022,-3.469446951953614e-18,1.0436368105453341e-16,1.000139323913776,6.56442102779653e-07,1.6592956773334858e-06,9.982582656113957e-05,1,0.24727676953879854,0.6546762290840805
0,0,low+peak_energy,-13.473226512804215,220,-0.038718588925272385,-0.01632154799761775,0.42155994613950537,-0.016322206261935476,6.582643177245606e-07,7.195255564973468e-09,-0.016321547997617748,-3.469446951953614e-18,1.0627996290074482e-16,1.0001468041431936,6.582643177245606e-07,1.7378065516578251e-06,0.00010646885131641249,1,0.2621973802153189,0.6740013606605224
0,0,low+peak_energy,-13.473226512804215,230,-0.038718588925272385,-0.016059361735395926,0.41478919870755504,-0.016060052475400946,6.90740005020174e-07,-1.728025024114177e-08,-0.01605936173539593,3.469446951953614e-18,1.0801480746304342e-16,1.0001556299585248,6.90740005020174e-07,1.8085777957915357e-06,0.00011261344248791962,1,0.27715438092929034,0.6923212567136026
