time,theta_mean,theta_std,theta_min,theta_max,fractionality,dual_anisotropy_rms,dual_anisotropy_inf,forcing_l2,anisotropy_forcing_l2,projection_forcing_l2,forcing_relative,clip_fraction,trigger_fraction,prediction_relative_error,rayleigh,weighted_spectral_excess,flatness,weighted_tail,saturation_deficit,bernoulli_gap_bound,bernoulli_expected_cut,current_best_threshold_cut,archive_best_cut,threshold_spectral_gap_bound,spectral_entropy,effective_rank
0.0,-8.371185302734375,0.0,-8.371185302734375,-8.371185302734375,0.9388037699000262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.473226512804057,1.5797616232461065e-13,18.246980348456816,1.933509115985538e-12,2529.7431685875163,2529.743168587518,9752.902133973324,11264.0,11264.0,1018.645302560843,4.471110820775103e-13,1.0000000000004472
10.0,-8.324869519472122,0.0,-8.324869519472122,-8.324869519472122,0.9090038952956843,0.00546260740518231,0.04611741900444066,0.01836064002875244,0.00019043018013394515,0.01825087488974906,0.004303892521076516,0.0025,0.0,0.024269628791217066,-13.466347813543425,0.006878699260787807,18.161430913497615,0.12518696763282897,2449.443076468025,2449.568263435658,9833.077039125184,11264.0,11264.0,1018.645302560843,0.008101725730839577,1.0081346335206787
20.0,-8.280321736335754,0.0,-8.280321736335754,-8.280321736335754,0.8665331887222449,0.01319354414270647,0.09066520214080853,0.03798367578038576,0.0005377469698339763,0.037591971154572634,0.007351828205833669,0.01,0.0,0.05938587589348851,-13.440978399341928,0.032248113462285385,17.964261403116765,0.8608105747068953,2334.9995865034657,2335.860397078173,9946.78490548267,11269.0,11269.0,1013.645302560843,0.03949073501259852,1.040280860651241
30.0,-8.238220465183257,0.0,-8.238220465183257,-8.238220465183257,0.8092238930010859,0.02359892365519381,0.13276647329330515,0.06212219488340531,0.0010477295050294558,0.06132511397656691,0.010057031322270954,0.0225,0.0,0.11235106306574451,-13.381322675744322,0.09190383705989275,17.640068224560096,3.506611250509777,2180.5713619953735,2184.077973245883,10098.56732931496,11274.0,11275.0,1008.645302560843,0.11301795789823396,1.1196520393654312
40.0,-8.199225046634673,0.0,-8.199225046634673,-8.199225046634673,0.7432644526703701,0.036824631419750134,0.17176189184188928,0.10063330869442495,0.0017080669757748978,0.0991268857156297,0.014043771406541672,0.06375,0.0,0.19333625247509434,-13.273077421058458,0.20014909174575757,17.059099757999995,10.277077323375092,2002.8340659486678,2013.111143272043,10269.5341592888,11273.0,11275.0,1009.645302560843,0.23618996207379273,1.266414858111392
50.0,-8.163616153001785,0.0,-8.163616153001785,-8.163616153001785,0.6745743318107165,0.05227781890471942,0.20737078547477772,0.13635987680792602,0.0024628760132611592,0.1340879337100278,0.016902295874047252,0.115,0.0,0.3125684233622256,-13.114814902771581,0.3584116100326354,16.415475758151704,23.327267536333473,1817.738554441866,1841.0658219781994,10441.579480582643,11280.0,11280.0,1002.645302560843,0.4076464685217489,1.5032756119666428
60.0,-8.131270480155944,0.0,-8.131270480155944,-8.131270480155944,0.6150011121171853,0.06931593405652282,0.2397164583206184,0.1677181208101487,0.003262525803310364,0.1646165107248556,0.019113281335737448,0.17875,0.0,0.4824220581892513,-12.941702556927696,0.531523955876517,15.720316060325024,40.92722637910668,1657.2098578362675,1698.1370842153742,10584.508218345469,11309.0,11309.0,973.645302560843,0.588288093916646,1.8009027985519268
70.0,-8.101680505275727,0.0,-8.101680505275727,-8.101680505275727,0.5652360659088197,0.08724097085992207,0.26930643320083547,0.18964771936356295,0.0040754302217677965,0.18577082447110216,0.02033788894753498,0.23375,0.0,0.7107015790078256,-12.769252973522168,0.703973539282049,15.08612219012181,61.21246108687123,1523.1107098391703,1584.3231709260415,10698.3221316348,11312.0,11313.0,970.645302560843,0.7600957075782242,2.138480879529011
80.0,-8.0743263143301,0.0,-8.0743263143301,-8.0743263143301,0.5266983567980554,0.10565981915561815,0.29666062414646177,0.20587024689273384,0.004887868423542025,0.20123053539668947,0.02115970367237023,0.2825,0.0,1.0103207664912854,-12.622708957673876,0.8505175551303381,14.515422234386088,80.51027128305792,1419.2652530123944,1499.7755242954522,10782.86977826539,11342.0,11342.0,940.645302560843,0.9093721422540795,2.4827632218030176
90.0,-8.048702079057694,0.0,-8.048702079057694,-8.048702079057694,0.49624479449683345,0.12429211770099988,0.3222848594188683,0.21671681841068843,0.005691856832267096,0.21135961650415036,0.02159075577891754,0.31,0.0,1.3933142200118545,-12.500795284640986,0.972431228163229,14.038334089870146,97.97345863621288,1337.203704411162,1435.177163047375,10847.468139513468,11351.0,11351.0,931.645302560843,1.039160581251756,2.8268431130348897
100.0,-8.024490942358971,0.0,-8.024490942358971,-8.024490942358971,0.47038786177433056,0.14301443036635464,0.3464959961175911,0.22470230787101717,0.006486877991080039,0.2186538696928206,0.02183300780722863,0.335,0.0,1.8734677030182576,-12.394669794077455,1.0785567187267597,13.649435434991174,114.24334600050861,1267.5284421118342,1381.7717881123428,10900.8735144485,11355.0,11356.0,927.645302560843,1.156361391926218,3.178347450065499
110.0,-8.001475636363029,0.0,-8.001475636363029,-8.001475636363029,0.4488289307644331,0.1617735207946954,0.36951130211353345,0.23099011736023656,0.0072728324280638065,0.22427366377606298,0.02200063393364613,0.36375,0.0,2.474250069972687,-12.30606093108934,1.1671655817148723,13.311126692296897,128.661580329748,1209.4347699377822,1338.0963502675302,10944.548952293313,11377.0,11377.0,905.645302560843,1.2591656251317753,3.5224811911016607
120.0,-7.979448470473289,0.0,-7.979448470473289,-7.979448470473289,0.4309372376550926,0.1805263170964342,0.3915384680032732,0.23574979535287138,0.008050787780328684,0.22838634339237895,0.022098166564384472,0.3825,0.0,3.224826451091665,-12.232149995372733,1.2410765174314813,13.033291039362464,141.25008625819157,1161.223003145838,1302.4730894040295,10980.172213156813,11379.0,11382.0,903.645302560843,1.3485830221047723,3.8519635146793685
130.0,-7.958251943588257,0.0,-7.958251943588257,-7.958251943588257,0.4157441241916464,0.1992399991924836,0.41273499488830545,0.23954041074634633,0.008820679313898584,0.23154339678163,0.02215961688784957,0.405,0.0,4.160647844249564,-12.170161215286624,1.3030652975175938,12.787000430585216,152.26471132732314,1120.2829513202892,1272.5476626476122,11010.09763991323,11378.0,11382.0,904.645302560843,1.4283088120815883,4.1716381987513
140.0,-7.9377657586336134,0.0,-7.9377657586336134,-7.9377657586336134,0.4025286547564132,0.21788611058920498,0.43322117984294906,0.24254875991328032,0.009581704892071665,0.23393290636473388,0.022188376168435085,0.4125,0.0,5.326098064112229,-12.117097166239207,1.3561293465650042,12.563344067426184,162.0496850033002,1084.671948685501,1246.7216336888014,11035.923668872041,11388.0,11388.0,894.645302560843,1.5008768460483124,4.4856205450863085
150.0,-7.917923458814621,0.0,-7.917923458814621,-7.917923458814621,0.390169234174778,0.23644909787368623,0.4530634796619415,0.24527356786346238,0.010333267787273913,0.23606253228476162,0.022209106435063353,0.425,0.0,6.773355449963945,-12.06794632237166,1.4052801904325565,12.363377803894249,171.3966189461001,1051.3676940728258,1222.7643130189258,11059.880989541916,11395.0,11395.0,887.645302560843,1.5703954230343111,4.808549229020619
