gset_id,n,seed,configuration,dual_init_mode,dual_burn_in,effective_dual_init,lambda_min,initial_cut,raw_cut,refined_cut,refinement_gain,initialization_seconds,solve_seconds,refinement_seconds,perturbations
1,800,0,configured-15,configured,0,15.0,nan,9688.0,11587.0,11598.0,11.0,0.0022735000020475127,1.814266083001712,0.1315255419976893,0
1,800,0,spectral-0,spectral,0,13.274152755737305,-13.274151717411971,9688.0,11594.0,11600.0,6.0,0.006962291001400445,1.7951656660006847,0.08688312499725726,0
1,800,0,spectral-250,spectral,250,14.524152755737305,-13.27415171744461,9688.0,11603.0,11607.0,4.0,0.005340500003512716,1.790131959001883,0.08720304199960083,0
1,800,0,spectral-500,spectral,500,15.774152755737305,-13.274151720985525,9688.0,11590.0,11602.0,12.0,0.004897041999356588,1.8196357499982696,0.13137149999965914,0
1,800,1,configured-15,configured,0,15.0,nan,9641.0,11592.0,11606.0,14.0,0.0010377920007158536,1.8087575419995119,0.13118266699893866,0
1,800,1,spectral-0,spectral,0,13.274152755737305,-13.274151724043843,9641.0,11581.0,11586.0,5.0,0.004903000000922475,1.7916440840017458,0.08873112500077696,0
1,800,1,spectral-250,spectral,250,14.524152755737305,-13.274151718584665,9641.0,11595.0,11602.0,7.0,0.005322167002304923,1.7997621250033262,0.08737933399970643,0
1,800,1,spectral-500,spectral,500,15.774152755737305,-13.274151721614734,9641.0,11596.0,11609.0,13.0,0.004885374997684266,1.8032162499985134,0.1320658340009686,0
1,800,2,configured-15,configured,0,15.0,nan,9683.0,11598.0,11607.0,9.0,0.0009624579979572445,1.8055989159984165,0.17505658400114044,0
1,800,2,spectral-0,spectral,0,13.274152755737305,-13.274151726057092,9683.0,11594.0,11595.0,1.0,0.00483791700025904,1.8041085410004598,0.0880189169984078,0
1,800,2,spectral-250,spectral,250,14.524152755737305,-13.274151717821727,9683.0,11593.0,11595.0,2.0,0.0052517920012178365,1.8227432500025316,0.09195341699887649,0
1,800,2,spectral-500,spectral,500,15.774152755737305,-13.274151721426524,9683.0,11604.0,11604.0,0.0,0.004922374999296153,1.8312059169984423,0.04465791699840338,0
1,800,3,configured-15,configured,0,15.0,nan,9691.0,11601.0,11611.0,10.0,0.0010649170035321731,1.8042165830011072,0.08903887499764096,0
1,800,3,spectral-0,spectral,0,13.274152755737305,-13.274151718974604,9691.0,11599.0,11606.0,7.0,0.0048830829982762225,1.8154624589988089,0.13340408300064155,0
1,800,3,spectral-250,spectral,250,14.524152755737305,-13.274151717681208,9691.0,11595.0,11599.0,4.0,0.004886333998001646,1.8097007920005126,0.08949333400232717,0
1,800,3,spectral-500,spectral,500,15.774152755737305,-13.274151725102696,9691.0,11602.0,11610.0,8.0,0.005228707999776816,1.832864249998238,0.0898561249996419,0
1,800,4,configured-15,configured,0,15.0,nan,9686.0,11607.0,11609.0,2.0,0.0010348329997214023,1.8180899170001794,0.08945099999982631,0
1,800,4,spectral-0,spectral,0,13.274152755737305,-13.274151720436155,9686.0,11600.0,11605.0,5.0,0.005099541998788482,1.8771218750007392,0.08987504100150545,0
1,800,4,spectral-250,spectral,250,14.524152755737305,-13.2741517182897,9686.0,11603.0,11611.0,8.0,0.005245625001407461,1.83967516699704,0.09088629200050491,0
1,800,4,spectral-500,spectral,500,15.774152755737305,-13.27415171601249,9686.0,11613.0,11617.0,4.0,0.005309000000124797,1.8057577079998737,0.0934829580000951,0
11,800,0,configured-15,configured,0,15.0,nan,52.0,402.0,460.0,58.0,0.00023062500258674845,0.3594236249991809,0.020012208002299303,0
11,800,0,spectral-0,spectral,0,3.4464612007141113,-3.4464609253504905,52.0,524.0,524.0,0.0,0.0023108329987735488,0.36298750000059954,0.0067331659993215,0
11,800,0,spectral-250,spectral,250,4.696461200714111,-3.446460926355244,52.0,538.0,538.0,0.0,0.002275208000355633,0.34715308300292236,0.007512250002037035,0
11,800,0,spectral-500,spectral,500,5.946461200714111,-3.44646092587848,52.0,544.0,544.0,0.0,0.0023422919985023327,0.36209120900093694,0.006767291000869591,0
11,800,1,configured-15,configured,0,15.0,nan,64.0,402.0,456.0,54.0,0.00026583300132188015,0.36016975000165985,0.02007383300224319,0
11,800,1,spectral-0,spectral,0,3.4464612007141113,-3.4464609255694976,64.0,524.0,524.0,0.0,0.0026702089999162126,0.3575789589995111,0.006745082999259466,0
11,800,1,spectral-250,spectral,250,4.696461200714111,-3.446460925692888,64.0,528.0,528.0,0.0,0.00232500000129221,0.34670504099995014,0.00676124999881722,0
11,800,1,spectral-500,spectral,500,5.946461200714111,-3.4464609281058505,64.0,532.0,532.0,0.0,0.0022794579999754205,0.3578089580005326,0.006736958002875326,0
11,800,2,configured-15,configured,0,15.0,nan,36.0,398.0,446.0,48.0,0.00021941599698038772,0.366028083000856,0.01338604100237717,0
11,800,2,spectral-0,spectral,0,3.4464612007141113,-3.4464609262675197,36.0,522.0,522.0,0.0,0.002291332999448059,0.3644312500000524,0.006804707998526283,0
11,800,2,spectral-250,spectral,250,4.696461200714111,-3.4464609257175414,36.0,532.0,532.0,0.0,0.002430624997941777,0.3560371669991582,0.006762624998373212,0
11,800,2,spectral-500,spectral,500,5.946461200714111,-3.446460927093121,36.0,536.0,538.0,2.0,0.0023720829994999804,0.3583931670000311,0.013496584000677103,0
11,800,3,configured-15,configured,0,15.0,nan,46.0,394.0,444.0,50.0,0.0002525829986552708,0.355444290999003,0.013342250000278,0
11,800,3,spectral-0,spectral,0,3.4464612007141113,-3.446460926309577,46.0,524.0,524.0,0.0,0.002310666997800581,0.346123292001721,0.006760833999578608,0
11,800,3,spectral-250,spectral,250,4.696461200714111,-3.446460925380588,46.0,526.0,526.0,0.0,0.002418999996734783,0.3595813329993689,0.007244374999572756,0
11,800,3,spectral-500,spectral,500,5.946461200714111,-3.4464609254544545,46.0,534.0,534.0,0.0,0.0028176250016258564,0.3501046250021318,0.006779166000342229,0
11,800,4,configured-15,configured,0,15.0,nan,50.0,404.0,446.0,42.0,0.0002524580013414379,0.36391304200151353,0.020122917001572205,0
11,800,4,spectral-0,spectral,0,3.4464612007141113,-3.446460925306431,50.0,524.0,524.0,0.0,0.0024982499999168795,0.36243208299856633,0.006750291999196634,0
11,800,4,spectral-250,spectral,250,4.696461200714111,-3.4464609257806282,50.0,536.0,536.0,0.0,0.0022916250018170103,0.3443774159968598,0.00679370899888454,0
11,800,4,spectral-500,spectral,500,5.946461200714111,-3.446460925338236,50.0,536.0,536.0,0.0,0.002474291999533307,0.34412362500006566,0.0067650840028363746,0
14,800,0,configured-15,configured,0,15.0,nan,2395.0,3009.0,3018.0,9.0,0.0003407080002943985,0.6127194159998908,0.025797916001465637,0
14,800,0,spectral-0,spectral,0,10.20236587524414,-10.202365310691045,2395.0,3028.0,3028.0,0.0,0.001729415998852346,0.6147497089987155,0.013268374998006038,0
14,800,0,spectral-250,spectral,250,11.45236587524414,-10.202365318622226,2395.0,3029.0,3030.0,1.0,0.001569916999869747,0.6217009169995436,0.026961667001160095,0
14,800,0,spectral-500,spectral,500,12.70236587524414,-10.202365312696758,2395.0,3028.0,3028.0,0.0,0.0016179999984160531,0.6282427090009151,0.012872540999524062,0
14,800,1,configured-15,configured,0,15.0,nan,2393.0,3011.0,3018.0,7.0,0.00039437500163330697,0.6159273330013093,0.027118333000544226,0
14,800,1,spectral-0,spectral,0,10.20236587524414,-10.202365314947851,2393.0,3029.0,3030.0,1.0,0.0015966249993653037,0.61061824999706,0.026052249999338528,0
14,800,1,spectral-250,spectral,250,11.45236587524414,-10.20236531206257,2393.0,3022.0,3023.0,1.0,0.0016452080017188564,0.6002598330014735,0.025305249997472856,0
14,800,1,spectral-500,spectral,500,12.70236587524414,-10.20236531239162,2393.0,3022.0,3023.0,1.0,0.0015127090009627864,0.6178754590000608,0.026526042001933092,0
14,800,2,configured-15,configured,0,15.0,nan,2383.0,3010.0,3019.0,9.0,0.00039437499799532816,0.5995893750005052,0.026690375001635402,0
14,800,2,spectral-0,spectral,0,10.20236587524414,-10.202365312570102,2383.0,3031.0,3031.0,0.0,0.001564166999742156,0.6015923750019283,0.012772750000294764,0
14,800,2,spectral-250,spectral,250,11.45236587524414,-10.202365311864652,2383.0,3029.0,3029.0,0.0,0.0015517089996137656,0.6138526249997085,0.013239292002253933,0
14,800,2,spectral-500,spectral,500,12.70236587524414,-10.2023653142405,2383.0,3027.0,3027.0,0.0,0.0015386670020234305,0.6146893750010349,0.013233999998192303,0
14,800,3,configured-15,configured,0,15.0,nan,2384.0,3008.0,3018.0,10.0,0.00039808300061849877,0.6055792910010496,0.02862783399905311,0
14,800,3,spectral-0,spectral,0,10.20236587524414,-10.20236531197627,2384.0,3027.0,3028.0,1.0,0.0016012500018405262,0.6235357500008831,0.026428458997543203,0
14,800,3,spectral-250,spectral,250,11.45236587524414,-10.202365317330212,2384.0,3027.0,3027.0,0.0,0.001610292001714697,0.6058401670015883,0.013766916999884415,0
14,800,3,spectral-500,spectral,500,12.70236587524414,-10.202365314480062,2384.0,3028.0,3028.0,0.0,0.0015657500007364433,0.601737166998646,0.013404124998487532,0
14,800,4,configured-15,configured,0,15.0,nan,2430.0,3011.0,3017.0,6.0,0.00038808300087112,0.6077484169982199,0.028323083999566734,0
14,800,4,spectral-0,spectral,0,10.20236587524414,-10.202365313045275,2430.0,3028.0,3028.0,0.0,0.0016456250014016405,0.5967444579982839,0.01325229199937894,0
14,800,4,spectral-250,spectral,250,11.45236587524414,-10.202365312641632,2430.0,3033.0,3035.0,2.0,0.0015550419993815012,0.5920714160019998,0.027267417000985006,0
14,800,4,spectral-500,spectral,500,12.70236587524414,-10.20236531139091,2430.0,3025.0,3025.0,0.0,0.001615332999790553,0.6052037499975995,0.013270250001369277,0
22,2000,0,configured-15,configured,0,15.0,nan,10130.0,13223.0,13239.0,16.0,0.0009620409982744604,2.0900974159994803,0.40569725000023027,0
22,2000,0,spectral-0,spectral,0,9.115219116210938,-9.115217773097749,10130.0,13277.0,13279.0,2.0,0.007797416998073459,2.0999862919998122,0.20081874999959837,0
22,2000,0,spectral-250,spectral,250,10.365219116210938,-9.115217778716943,10130.0,13282.0,13287.0,5.0,0.007791708001605002,2.083368874998996,0.1974631250013772,0
22,2000,0,spectral-500,spectral,500,11.615219116210938,-9.115217774189986,10130.0,13281.0,13283.0,2.0,0.007697125001868699,2.0833016249998764,0.20123291700292611,0
22,2000,1,configured-15,configured,0,15.0,nan,10064.0,13188.0,13201.0,13.0,0.0010431670016259886,2.0866094999983034,0.19827008400170598,0
22,2000,1,spectral-0,spectral,0,9.115219116210938,-9.115217779021688,10064.0,13251.0,13251.0,0.0,0.007256249999045394,2.0832915409991983,0.09979095800008508,0
22,2000,1,spectral-250,spectral,250,10.365219116210938,-9.115217773546695,10064.0,13264.0,13265.0,1.0,0.007711791000474477,2.0773553750004794,0.1995403750006517,0
22,2000,1,spectral-500,spectral,500,11.615219116210938,-9.115217777809201,10064.0,13267.0,13273.0,6.0,0.007093500000337372,2.0791451249970123,0.19923883299998124,0
22,2000,2,configured-15,configured,0,15.0,nan,10071.0,13192.0,13201.0,9.0,0.0010195000031671952,2.0774339999989024,0.19972279199646437,0
22,2000,2,spectral-0,spectral,0,9.115219116210938,-9.115217778763022,10071.0,13266.0,13268.0,2.0,0.007536834000347881,2.124960541998007,0.19998191700142343,0
22,2000,2,spectral-250,spectral,250,10.365219116210938,-9.11521777715323,10071.0,13273.0,13275.0,2.0,0.007670875002077082,2.0814283330000762,0.19998233300066204,0
22,2000,2,spectral-500,spectral,500,11.615219116210938,-9.115217777472811,10071.0,13277.0,13285.0,8.0,0.007253583000419894,2.079265292002674,0.1997085419970972,0
22,2000,3,configured-15,configured,0,15.0,nan,10172.0,13190.0,13197.0,7.0,0.0010100830004375894,2.0799997909998638,0.19734170800074935,0
22,2000,3,spectral-0,spectral,0,9.115219116210938,-9.115217773210793,10172.0,13257.0,13258.0,1.0,0.008222417000069981,2.081061625001894,0.1965206249988114,0
