gset_id,n,seed,configuration,conditional_rounding,dual_init_mode,dual_burn_in,dual_anisotropy_start,dual_anisotropy_scale,effective_dual_init,effective_primal_lr,lambda_min,initial_cut,raw_cut,best_relaxed_expected_cut,refined_cut,refinement_gain,initialization_seconds,solve_seconds,refinement_seconds,perturbations
67,10000,0,spectral-0,1,spectral,0,0,1.0,3.565885305404663,0.035054410062649595,-3.5658849763819247,78.0,6810.0,6807.490234375,6810.0,0.0,0.09061229100188939,3.9137102079985198,0.0035428750052233227,0
67,10000,1,spectral-0,1,spectral,0,0,1.0,3.565885305404663,0.03505441006831209,-3.5658849773899126,20.0,6808.0,6807.796875,6808.0,0.0,0.08188741699996172,3.936448250002286,0.0035117919978802092,0
67,10000,2,spectral-0,1,spectral,0,0,1.0,3.565885305404663,0.03505441006624626,-3.5658849784164897,130.0,6814.0,6813.5556640625,6814.0,0.0,0.07986337500187801,3.954832666000584,0.003629458005889319,0
70,10000,0,spectral-0,1,spectral,0,0,1.0,3.556842088699341,0.03511835733910316,-3.5568417797099183,5082.0,9473.0,9472.9873046875,9473.0,0.0,0.03832570800295798,3.5406845830002567,0.0036180419992888346,1365656
70,10000,1,spectral-0,1,spectral,0,0,1.0,3.556842088699341,0.03511835733864748,-3.556841779918123,5079.0,9471.0,9470.9873046875,9471.0,0.0,0.0380654170003254,3.475995207998494,0.003658708999864757,1348217
70,10000,2,spectral-0,1,spectral,0,0,1.0,3.556842088699341,0.0351183573254905,-3.556841779830912,5086.0,9481.0,9480.9873046875,9481.0,0.0,0.03647229099442484,3.5157599579979433,0.0036711659995489754,1349238
72,10000,0,spectral-0,1,spectral,0,0,1.0,3.5636346340179443,0.03507654902651389,-3.563634351299663,38.0,6848.0,6847.6865234375,6848.0,0.0,0.050480249999964144,3.9312759170061327,0.003628749997005798,0
72,10000,1,spectral-0,1,spectral,0,0,1.0,3.5636346340179443,0.03507654902517167,-3.563634350838132,96.0,6854.0,6853.74169921875,6854.0,0.0,0.04895345799741335,3.9699537500055158,0.0036491669961833395,0
72,10000,2,spectral-0,1,spectral,0,0,1.0,3.5636346340179443,0.03507654902272559,-3.5636343500362337,108.0,6854.0,6853.70361328125,6854.0,0.0,0.04800062499998603,3.9463100409993785,0.0036653339993790723,0
77,14000,0,spectral-0,1,spectral,0,0,1.0,3.6182587146759033,0.034547006098073575,-3.6182583745367145,206.0,9736.0,9733.15234375,9736.0,0.0,0.12839654200070072,5.524567166001361,0.005006541003240272,0
77,14000,1,spectral-0,1,spectral,0,0,1.0,3.6182587146759033,0.034547006097895634,-3.6182583745587853,254.0,9732.0,9731.2255859375,9732.0,0.0,0.12729570800001966,5.5158387499977835,0.004879959000390954,0
77,14000,2,spectral-0,1,spectral,0,0,1.0,3.6182587146759033,0.034547006096884,-3.618258374538275,206.0,9714.0,9713.5283203125,9714.0,0.0,0.12382516700017732,5.576779082999565,0.005008207997889258,0
81,20000,0,spectral-0,1,spectral,0,0,1.0,3.631044626235962,0.034425356595813805,-3.631044274611427,136.0,13728.0,13724.91796875,13728.0,0.0,0.16808270899491617,8.241445665997162,0.006804083001043182,0
81,20000,1,spectral-0,1,spectral,0,0,1.0,3.631044626235962,0.03442535659732892,-3.6310442729861916,120.0,13736.0,13731.03125,13736.0,0.0,0.16678658300224924,8.291819999998552,0.007069083003443666,0
81,20000,2,spectral-0,1,spectral,0,0,1.0,3.631044626235962,0.034425356585604555,-3.631044273656629,378.0,13734.0,13733.25,13734.0,0.0,0.16992074999870965,8.437271040995256,0.0071622920004301704,0
